Longitude (deg),Latitude (deg),Eastward wind (m/s)
120,263,50.439
120,264,51.017
120,265,51.877
120,266,52.939
120,267,54.455
120,268,55.486
120,269,56.408
120,270,57.189
120,271,57.423
120,272,57.111
120,273,56.955
120,274,56.736
120,275,56.345
120,276,57.111
120,277,58.423
120,278,55.595
120,279,48.861
120,280,45.173
120,281,44.048
126,231,1.8218
126,232,3.7007
126,233,5.2662
126,234,6.1812
126,235,6.7549
126,236,7.6377
126,237,8.685
126,238,9.9024
126,239,11.183
126,240,12.714
126,241,14.537
126,242,16.627
126,243,18.818
126,244,21.013
126,245,23.255
126,246,25.572
126,247,28.017
126,248,30.541
126,249,32.994
126,250,35.236
126,251,37.228
126,252,38.892
126,253,40.095
126,254,41.08
126,255,42.314
126,256,44.033
126,257,45.798
126,258,47.08
126,259,48.298
126,260,49.736
126,261,51.017
126,262,52.017
126,263,52.752
126,264,53.048
126,265,53.314
126,266,53.861
126,267,54.502
126,268,54.986
126,269,55.72
126,270,57.47
126,271,59.111
126,272,60.455
126,273,62.048
126,274,63.158
126,275,60.986
126,276,55.267
126,277,49.673
126,278,46.845
126,279,45.158
126,280,42.267
126,281,37.533
127,231,2.3511
127,232,4.1695
127,233,5.4566
127,234,6.4742
127,235,7.2032
127,236,8.1453
127,237,9.3204
127,238,10.609
127,239,11.91
127,240,13.234
127,241,14.705
127,242,16.615
127,243,18.759
127,244,20.912
127,245,23.138
127,246,25.556
127,247,28.134
127,248,30.705
127,249,33.087
127,250,35.197
127,251,37.002
127,252,38.509
127,253,39.759
127,254,41.08
127,255,42.845
127,256,44.72
127,257,46.08
127,258,47.048
127,259,48.173
127,260,49.502
127,261,50.611
127,262,51.33
127,263,51.892
127,264,52.189
127,265,52.533
127,266,53.283
127,267,54.173
127,268,55.017
127,269,56.502
127,270,58.314
127,271,59.814
127,272,61.595
127,273,63.627
127,274,63.189
127,275,58.767
127,276,52.642
127,277,48.377
127,278,46.158
127,279,43.72
127,280,40.111
127,281,33.869
142,231,4.0425
142,232,-4.1626
142,233,-6.2797
142,234,-3.811
142,235,0.23588
142,236,4.0191
142,237,7.3677
142,238,10.61
142,239,13.603
142,240,16.334
142,241,18.986
142,242,21.611
142,243,24.025
142,244,26.103
142,245,27.869
142,246,29.478
142,247,31.142
142,248,32.814
142,249,34.525
142,250,36.267
142,251,38.041
142,252,40.095
142,253,42.236
142,254,44.314
142,255,46.408
142,256,48.486
142,257,50.611
142,258,52.783
142,259,54.798
142,260,56.158
142,261,56.736
142,262,56.798
142,263,56.298
142,264,55.064
142,265,52.783
142,266,49.095
142,267,43.986
142,268,37.814
142,269,32.962
142,270,30.681
142,271,28.752
142,272,27.298
142,273,25.947
142,274,24.466
142,275,22.959
142,276,21.564
142,277,20.607
142,278,19.607
142,279,18.404
142,280,17.056
142,281,15.687
144,231,18.72
144,232,9.4678
144,233,2.0367
144,234,-1.8149
144,235,-0.94381
144,236,3.2046
144,237,7.4512
144,238,10.469
144,239,12.962
144,240,15.484
144,241,18.193
144,242,21.017
144,243,23.736
144,244,26.134
144,245,28.439
144,246,30.759
144,247,33.095
144,248,35.384
144,249,37.462
144,250,39.322
144,251,41.189
144,252,43.127
144,253,44.97
144,254,46.783
144,255,48.705
144,256,50.658
144,257,52.127
144,258,52.72
144,259,52.986
144,260,53.158
144,261,53.002
144,262,52.564
144,263,51.236
144,264,47.861
144,265,43.22
144,266,38.134
144,267,33.775
144,268,31.392
144,269,30.056
144,270,28.767
144,271,27.259
144,272,25.58
144,273,23.744
144,274,22.021
144,275,20.716
144,276,19.552
144,277,18.318
144,278,16.982
144,279,15.74
144,280,14.433
144,281,13.16
155,231,47.47
155,232,50.955
155,233,53.158
155,234,51.142
155,235,44.439
155,236,36.517
155,237,31.15
155,238,30.345
155,239,31.041
155,240,30.548
155,241,29.587
155,242,29.259
155,243,30.181
155,244,32.15
155,245,34.033
155,246,35.228
155,247,36.087
155,248,36.923
155,249,37.384
155,250,37.158
155,251,36.564
155,252,35.205
155,253,32.955
155,254,30.048
155,255,27.119
155,256,25.072
155,257,23.576
155,258,22.357
155,259,21.404
155,260,20.709
155,261,20.326
155,262,20.369
155,263,20.869
155,264,22.056
155,265,23.974
155,266,25.955
155,267,27.142
155,268,26.744
155,269,25.15
155,270,22.603
155,271,19.748
155,272,17.669
155,273,16.412
155,274,15.49
155,275,14.57
155,276,13.439
155,277,11.986
155,278,10.273
155,279,8.5539
155,280,7.1128
155,281,6.1011
157,231,44.423
157,232,47.392
157,233,51.673
157,234,54.595
157,235,53.83
157,236,49.392
157,237,43.236
157,238,38.564
157,239,36.431
157,240,35.119
157,241,33.962
157,242,33.048
157,243,31.994
157,244,31.189
157,245,31.681
157,246,32.947
157,247,33.916
157,248,34.494
157,249,34.705
157,250,34.767
157,251,34.291
157,252,32.666
157,253,30.462
157,254,28.134
157,255,26.095
157,256,24.537
157,257,23.236
157,258,22.017
157,259,20.919
157,260,19.998
157,261,19.314
157,262,19.166
157,263,19.681
157,264,20.646
157,265,21.88
157,266,23.357
157,267,24.744
157,268,25.267
157,269,24.541
157,270,22.576
157,271,19.892
157,272,17.443
157,273,15.796
157,274,15.039
157,275,14.388
157,276,13.531
157,277,12.345
157,278,10.769
157,279,9.0921
157,280,7.648
157,281,6.6812
163,231,38.97
163,232,40.627
163,233,42.533
163,234,44.564
163,235,46.611
163,236,48.798
163,237,51.064
163,238,52.752
163,239,53.673
163,240,54.173
163,241,54.377
163,242,53.783
163,243,51.517
163,244,48.095
163,245,44.955
163,246,42.095
163,247,39.33
163,248,37.048
163,249,35.447
163,250,34.314
163,251,33.47
163,252,32.791
163,253,32.002
163,254,30.955
163,255,29.564
163,256,27.978
163,257,26.337
163,258,24.861
163,259,23.919
163,260,23.47
163,261,23.252
163,262,23.193
163,263,23.162
163,264,23.041
163,265,23.056
163,266,22.966
163,267,22.81
163,268,22.697
163,269,22.548
163,270,22.279
163,271,21.853
163,272,21.048
163,273,19.97
163,274,18.669
163,275,17.412
163,276,16.291
163,277,15.39
163,278,14.619
163,279,13.806
163,280,12.884
163,281,11.854
166,231,33.408
166,232,34.337
166,233,35.806
166,234,37.712
166,235,39.9
166,236,42.189
166,237,44.423
166,238,46.736
166,239,48.923
166,240,50.361
166,241,50.83
166,242,51.048
166,243,51.627
166,244,52.533
166,245,53.127
166,246,52.408
166,247,50.142
166,248,46.783
166,249,43.298
166,250,40.392
166,251,38.056
166,252,36.283
166,253,34.931
166,254,33.619
166,255,32.314
166,256,30.923
166,257,29.431
166,258,28.002
166,259,26.877
166,260,25.9
166,261,25.08
166,262,24.302
166,263,23.705
166,264,23.224
166,265,22.759
166,266,22.466
166,267,22.037
166,268,21.83
166,269,21.638
166,270,21.404
166,271,21.115
166,272,20.748
166,273,20.275
166,274,19.826
166,275,19.279
166,276,18.888
166,277,18.369
166,278,17.978
166,279,17.529
166,280,17.08
166,281,16.763
170,231,27.853
170,232,28.455
170,233,29.103
170,234,29.931
170,235,31.212
170,236,32.814
170,237,34.517
170,238,36.439
170,239,38.705
170,240,40.986
170,241,42.877
170,242,44.283
170,243,45.298
170,244,45.939
170,245,46.314
170,246,46.455
170,247,46.548
170,248,46.814
170,249,47.252
170,250,47.705
170,251,47.939
170,252,47.502
170,253,45.845
170,254,43.564
170,255,41.111
170,256,38.814
170,257,36.689
170,258,34.759
170,259,33.056
170,260,31.408
170,261,29.916
170,262,28.556
170,263,27.205
170,264,26.189
170,265,25.306
170,266,24.642
170,267,24.107
170,268,23.216
170,269,22.021
170,270,20.822
170,271,19.521
170,272,18.427
170,273,17.884
170,274,17.642
170,275,17.439
170,276,17.505
170,277,17.845
170,278,18.275
170,279,18.931
170,280,19.494
170,281,20.525
171,231,26.627
171,232,27.236
171,233,27.884
171,234,28.658
171,235,29.634
171,236,30.861
171,237,32.322
171,238,34.189
171,239,36.572
171,240,39.15
171,241,41.439
171,242,43.064
171,243,44.033
171,244,44.611
171,245,44.939
171,246,45.111
171,247,45.22
171,248,45.267
171,249,45.361
171,250,45.595
171,251,45.877
171,252,45.955
171,253,45.642
171,254,44.877
171,255,43.517
171,256,41.783
171,257,39.666
171,258,37.595
171,259,35.806
171,260,34.252
171,261,32.752
171,262,31.173
171,263,29.681
171,264,28.314
171,265,26.994
171,266,26.009
171,267,25.587
171,268,24.412
171,269,23.033
171,270,21.357
171,271,19.591
171,272,18.341
171,273,17.474
171,274,17.216
171,275,17.271
171,276,17.685
171,277,18.33
171,278,18.99
171,279,19.884
171,280,20.591
171,281,20.783
180,231,21.607
180,232,21.478
180,233,21.482
180,234,21.716
180,235,22.361
180,236,23.478
180,237,24.853
180,238,26.353
180,239,28.095
180,240,30.158
180,241,32.314
180,242,34.22
180,243,35.845
180,244,37.298
180,245,38.517
180,246,39.478
180,247,40.353
180,248,41.236
180,249,41.986
180,250,42.923
180,251,44.595
180,252,46.564
180,253,47.236
180,254,46.22
180,255,44.845
180,256,43.705
180,257,42.642
180,258,41.486
180,259,40.228
180,260,39.127
180,261,38.369
180,262,37.431
180,263,36.884
180,264,36.259
180,265,36.009
180,266,35.791
180,267,35.103
180,268,34.595
180,269,34.556
180,270,35.166
180,271,36.127
180,272,36.494
180,273,35.791
180,274,34.509
180,275,34.978
180,276,38.283
180,277,41.033
180,278,41.783
180,279,43.33
180,280,44.908
180,281,46.923
184,231,19.306
184,232,19.544
184,233,19.646
184,234,19.877
184,235,20.447
184,236,21.087
184,237,21.767
184,238,22.818
184,239,24.064
184,240,25.283
184,241,26.494
184,242,27.837
184,243,29.47
184,244,31.392
184,245,33.267
184,246,34.689
184,247,35.431
184,248,35.783
184,249,36.244
184,250,36.869
184,251,37.361
184,252,37.752
184,253,38.314
184,254,39.384
184,255,41.22
184,256,43.345
184,257,44.767
184,258,43.048
184,259,37.627
184,260,32.673
184,261,29.947
184,262,29.845
184,263,30.767
184,264,31.978
184,265,32.955
184,266,33.369
184,267,33.236
184,268,32.798
184,269,33.009
184,270,34.572
184,271,36.775
184,272,40.002
184,273,42.923
184,274,44.408
184,275,44.642
184,276,44.33
184,277,44.502
184,278,45.267
184,279,46.439
184,280,48.455
184,281,51.017
