Longitude (deg),Latitude (deg),Eastward wind (m/s)
135,266,61.361
135,267,63.83
135,268,65.533
135,269,64.127
135,270,60.267
135,271,55.752
135,272,51.642
135,273,48.158
135,274,42.533
135,275,35.728
135,276,30.095
135,277,26.642
135,278,25.087
135,279,24.38
135,280,23.228
135,281,21.505
140,231,-9.5454
140,232,-9.1469
140,233,-4.3618
140,234,0.21635
140,235,3.5074
140,236,6.7022
140,237,10.176
140,238,13.25
140,239,15.898
140,240,18.345
140,241,20.595
140,242,22.568
140,243,24.263
140,244,25.775
140,245,27.166
140,246,28.416
140,247,29.658
140,248,31.095
140,249,32.791
140,250,34.619
140,251,36.322
140,252,37.986
140,253,39.783
140,254,41.673
140,255,43.517
140,256,45.533
140,257,47.627
140,258,49.611
140,259,51.689
140,260,54.142
140,261,56.814
140,262,59.033
140,263,60.173
140,264,60.189
140,265,58.986
140,266,56.548
140,267,53.673
140,268,50.002
140,269,44.173
140,270,37.845
140,271,32.798
140,272,29.275
140,273,27.4
140,274,26.314
140,275,25.283
140,276,24.115
140,277,22.709
140,278,21.451
140,279,20.388
140,280,19.33
140,281,18.021
145,231,24.134
145,232,15.578
145,233,8.7171
145,234,3.1206
145,235,0.50151
145,236,2.2046
145,237,6.8536
145,238,10.894
145,239,13.589
145,240,15.939
145,241,18.439
145,242,21.205
145,243,23.966
145,244,26.455
145,245,28.791
145,246,31.236
145,247,33.705
145,248,36.095
145,249,38.267
145,250,40.189
145,251,42.048
145,252,43.892
145,253,45.627
145,254,47.33
145,255,49.002
145,256,50.298
145,257,50.877
145,258,51.158
145,259,51.377
145,260,51.314
145,261,51.048
145,262,50.002
145,263,46.908
145,264,42.455
145,265,37.791
145,266,33.853
145,267,31.533
145,268,30.447
145,269,29.533
145,270,28.158
145,271,26.494
145,272,24.619
145,273,22.65
145,274,21.084
145,275,19.732
145,276,18.353
145,277,16.939
145,278,15.65
145,279,14.324
145,280,13.007
145,281,11.863
150,231,46.955
150,232,39.478
150,233,29.322
150,234,25.002
150,235,25.189
150,236,24.666
150,237,21.826
150,238,18.505
150,239,16.814
150,240,18.404
150,241,21.748
150,242,24.642
150,243,27.033
150,244,29.173
150,245,31.119
150,246,33.002
150,247,34.853
150,248,36.853
150,249,38.939
150,250,40.673
150,251,41.83
150,252,42.502
150,253,42.83
150,254,42.908
150,255,42.736
150,256,42.173
150,257,40.736
150,258,38.392
150,259,35.525
150,260,32.689
150,261,30.462
150,262,28.916
150,263,27.814
150,264,27.244
150,265,27.595
150,266,28.462
150,267,28.9
150,268,28.173
150,269,26.509
150,270,24.396
150,271,22.228
150,272,20.294
150,273,18.525
150,274,16.959
150,275,15.517
150,276,14.064
150,277,12.387
150,278,10.57
150,279,8.9208
150,280,7.4952
150,281,6.4156
156,231,45.673
156,232,49.47
156,233,53.205
156,234,53.877
156,235,50.173
156,236,43.423
156,237,36.673
156,238,33.103
156,239,32.462
156,240,32.291
156,241,31.947
156,242,31.416
156,243,30.798
156,244,31.314
156,245,32.97
156,246,34.345
156,247,35.306
156,248,36.064
156,249,36.244
156,250,35.759
156,251,34.736
156,252,33.127
156,253,31.009
156,254,28.603
156,255,26.361
156,256,24.65
156,257,23.275
156,258,22.091
156,259,21.064
156,260,20.22
156,261,19.701
156,262,19.709
156,263,20.193
156,264,21.185
156,265,22.748
156,266,24.65
156,267,26.095
156,268,26.205
156,269,24.978
156,270,22.611
156,271,19.787
156,272,17.443
156,273,16.052
156,274,15.261
156,275,14.451
156,276,13.459
156,277,12.102
156,278,10.482
156,279,8.7826
156,280,7.354
156,281,6.3746
160,231,43.189
160,232,44.705
160,233,46.127
160,234,48.423
160,235,52.048
160,236,54.986
160,237,55.72
160,238,53.845
160,239,50.486
160,240,47.798
160,241,45.33
160,242,42.298
160,243,39.291
160,244,37.025
160,245,35.494
160,246,34.455
160,247,33.72
160,248,33.181
160,249,32.642
160,250,32.064
160,251,31.244
160,252,30.244
160,253,29.33
160,254,28.345
160,255,27.087
160,256,25.791
160,257,24.728
160,258,23.736
160,259,22.724
160,260,21.857
160,261,21.084
160,262,20.416
160,263,20.041
160,264,20.134
160,265,20.775
160,266,21.627
160,267,22.31
160,268,22.529
160,269,22.502
160,270,21.99
160,271,20.752
160,272,18.818
160,273,16.896
160,274,15.523
160,275,14.548
160,276,13.927
160,277,13.273
160,278,12.3
160,279,10.803
160,280,9.3089
160,281,8.0884
162,231,40.533
162,232,42.314
162,233,44.298
162,234,46.22
162,235,48.189
162,236,50.548
162,237,52.908
162,238,54.267
162,239,54.611
162,240,54.173
162,241,52.814
162,242,50.47
162,243,47.33
162,244,44.142
162,245,41.142
162,246,38.58
162,247,36.72
162,248,35.392
162,249,34.361
162,250,33.587
162,251,32.9
162,252,32.056
