Longitude (deg),Latitude (deg),Eastward wind (m/s)
103,263,58.158
103,264,57.267
103,265,54.986
103,266,53.595
103,267,52.252
103,268,50.252
103,269,47.158
103,270,43.58
103,271,38.947
103,272,33.127
103,273,27.002
103,274,22.638
103,275,20.052
103,276,19.021
103,277,19.65
103,278,20.544
103,279,21.584
103,280,23.236
103,281,25.611
104,231,-0.018024
104,232,2.4742
104,233,4.5289
104,234,6.1753
104,235,7.9202
104,236,10.231
104,237,12.82
104,238,14.843
104,239,16.65
104,240,18.845
104,241,21.056
104,242,22.822
104,243,24.705
104,244,27.291
104,245,30.119
104,246,33.056
104,247,35.877
104,248,38.509
104,249,40.752
104,250,42.486
104,251,43.689
104,252,45.205
104,253,46.955
104,254,48.111
104,255,48.939
104,256,49.814
104,257,51.33
104,258,53.47
104,259,55.033
104,260,56.095
104,261,56.611
104,262,57.064
104,263,57.877
104,264,57.814
104,265,55.736
104,266,52.986
104,267,52.033
104,268,51.33
104,269,48.861
104,270,45.705
104,271,41.548
104,272,35.548
104,273,29.861
104,274,25.783
104,275,23.318
104,276,22.228
104,277,22.459
104,278,23.103
104,279,23.959
104,280,25.517
104,281,27.486
105,231,-0.84615
105,232,1.7652
105,233,3.8257
105,234,5.4624
105,235,6.9429
105,236,8.8791
105,237,11.51
105,238,14.162
105,239,16.261
105,240,18.263
105,241,20.65
105,242,22.955
105,243,24.634
105,244,26.275
105,245,28.494
105,246,31.384
105,247,34.478
105,248,37.306
105,249,39.884
105,250,42.017
105,251,43.439
105,252,44.502
105,253,46.017
105,254,47.377
105,255,48.611
105,256,49.892
105,257,51.408
105,258,53.283
105,259,54.97
105,260,56.017
105,261,56.58
105,262,56.658
105,263,56.877
105,264,56.845
105,265,55.423
105,266,53.923
105,267,53.47
105,268,52.845
105,269,50.783
105,270,46.939
105,271,42.142
105,272,36.947
105,273,32.064
105,274,28.752
105,275,26.267
105,276,24.853
105,277,24.97
105,278,25.853
105,279,26.572
105,280,27.595
105,281,29.377
106,231,-1.9594
106,232,1.2242
106,233,3.3531
106,234,4.8804
106,235,6.2007
106,236,7.7769
106,237,10.078
106,238,13.027
106,239,15.888
106,240,18.142
106,241,20.005
106,242,22.021
106,243,24.091
106,244,25.939
106,245,28.002
106,246,30.283
106,247,32.986
106,248,35.861
106,249,38.65
106,250,41.064
106,251,42.845
106,252,44.033
106,253,45.314
106,254,47.08
106,255,48.97
106,256,50.142
106,257,51.298
106,258,52.611
106,259,53.955
106,260,54.908
106,261,55.72
106,262,56.205
106,263,56.064
106,264,55.673
106,265,55.158
106,266,55.236
106,267,55.002
106,268,53.783
106,269,51.252
106,270,46.955
106,271,42.423
106,272,38.087
106,273,34.142
106,274,31.205
106,275,28.627
106,276,27.127
106,277,27.431
106,278,28.556
106,279,29.494
106,280,30.533
106,281,31.791
108,231,-4.7758
108,232,-1.311
108,233,1.9351
108,234,3.9683
108,235,5.2925
108,236,6.6763
108,237,8.337
108,238,10.643
108,239,13.728
108,240,16.947
108,241,19.685
108,242,21.916
108,243,23.99
108,244,26.002
108,245,27.666
108,246,29.119
108,247,30.986
108,248,33.595
108,249,36.369
108,250,39.095
108,251,41.361
108,252,43.158
108,253,44.627
108,254,46.236
108,255,48.377
108,256,50.298
108,257,51.423
108,258,52.314
108,259,53.517
108,260,54.908
108,261,56.517
108,262,57.798
108,263,58.361
108,264,58.08
108,265,57.267
108,266,56.97
108,267,57.392
108,268,56.314
108,269,53.611
108,270,49.689
108,271,45.611
108,272,41.908
108,273,38.541
108,274,35.955
108,275,34.181
108,276,33.002
108,277,33.002
108,278,34.439
108,279,34.853
108,280,34.533
108,281,34.681
112,231,-6.7993
112,232,-4.9751
112,233,-2.686
112,234,-0.27193
112,235,1.7945
112,236,3.7398
112,237,5.9009
112,238,8.3271
112,239,11.145
112,240,14.386
112,241,17.951
112,242,21.447
112,243,24.595
112,244,26.916
112,245,28.439
112,246,29.791
112,247,31.181
112,248,32.666
112,249,34.486
112,250,36.572
112,251,38.83
112,252,41.189
112,253,43.345
112,254,45.408
112,255,47.47
112,256,49.47
112,257,51.314
112,258,52.908
112,259,54.439
112,260,55.955
112,261,57.533
112,262,58.736
112,263,59.017
112,264,59.267
112,265,59.689
112,266,59.673
112,267,59.689
112,268,59.517
112,269,58.064
112,270,55.611
112,271,52.47
112,272,49.658
112,273,47.22
112,274,46.017
112,275,45.408
112,276,44.564
112,277,43.939
112,278,44.08
112,279,43.33
112,280,41.095
112,281,39.783
113,231,-6.8188
113,232,-5.2758
113,233,-3.3266
113,234,-1.0844
113,235,1.1382
113,236,3.2984
113,237,5.6167
113,238,8.212
113,239,11.004
113,240,14.023
113,241,17.408
113,242,20.794
113,243,23.904
113,244,26.509
113,245,28.306
113,246,29.697
113,247,31.173
113,248,32.822
113,249,34.587
113,250,36.564
113,251,38.853
113,252,41.205
113,253,43.47
113,254,45.627
113,255,47.642
113,256,49.548
113,257,51.252
113,258,52.486
113,259,53.455
113,260,54.72
113,261,56.455
113,262,57.58
113,263,58.095
113,264,58.923
113,265,59.705
113,266,60.095
113,267,60.236
113,268,60.111
113,269,58.502
113,270,55.455
113,271,52.283
113,272,50.33
113,273,48.58
113,274,47.627
113,275,47.064
113,276,46.752
113,277,46.47
113,278,46.361
113,279,44.986
113,280,42.267
113,281,40.627
114,231,-6.4907
114,232,-5.1547
114,233,-3.4516
114,234,-1.5024
114,235,0.68705
114,236,3.107
114,237,5.6695
114,238,8.3837
114,239,11.177
114,240,14.003
114,241,17.017
114,242,20.15
114,243,23.115
114,244,25.877
114,245,27.877
114,246,29.158
114,247,30.689
114,248,32.533
114,249,34.4
114,250,36.423
